City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Raudeberg,NO,61.9875,5.1352,43.95,70,100,25.28,overcast clouds
80,Jamestown,US,42.097,-79.2353,62.53,35,40,4.61,scattered clouds
81,Tromso,NO,69.6496,18.957,41.02,56,75,19.57,broken clouds
82,Hambantota,LK,6.1241,81.1185,79.14,100,40,2.3,scattered clouds
83,Saint George,US,37.1041,-113.5841,67.24,28,80,18.01,broken clouds
84,Markova,UA,48.6758,24.4138,32.65,95,96,6.87,overcast clouds
85,Lokosovo,RU,61.1333,74.8167,21.45,95,100,9.93,light snow
86,Tuburan,PH,6.6439,122.2736,78.89,77,86,3.33,overcast clouds
87,Dongsheng,CN,39.8161,109.9776,33.53,58,100,11.12,light snow
88,Micheweni,TZ,-4.9667,39.8333,79.9,79,30,8.99,scattered clouds
89,Rawson,AR,-43.3002,-65.1023,78.17,27,5,3.06,clear sky
90,Yellowknife,CA,62.456,-114.3525,17.42,58,75,0.0,light snow
91,Okhotsk,RU,59.3833,143.3,-3.71,88,52,8.1,broken clouds
92,Aklavik,CA,68.2191,-135.0107,-4.0,50,20,3.44,few clouds
93,Vila Velha,BR,-20.3297,-40.2925,80.94,84,40,8.05,scattered clouds
94,Chuy,UY,-33.6971,-53.4616,73.83,77,76,13.24,broken clouds
95,Bikin,RU,46.8161,134.26,15.69,85,58,6.2,broken clouds
96,Sitka,US,57.0531,-135.33,44.49,70,100,14.97,light rain
97,Balkanabat,TM,39.5108,54.3671,42.73,77,84,7.36,broken clouds
98,Faya,SA,18.3851,42.4509,57.31,74,9,7.38,clear sky
99,Timizart,DZ,36.8,4.2667,53.31,75,90,4.18,light rain
100,Lujan,AR,-34.5703,-59.105,81.05,58,0,1.99,clear sky
101,Bishop Auckland,GB,54.6555,-1.6771,41.86,89,100,13.51,overcast clouds
102,Fort Saint James,CA,54.4333,-124.25,43.18,59,86,8.32,overcast clouds
103,Pevek,RU,69.7008,170.3133,-14.06,98,84,4.07,broken clouds
104,Kensington,AU,-33.9167,151.2167,71.04,92,20,4.61,few clouds
105,Varniai,LT,55.7406,22.3644,34.32,85,0,7.18,clear sky
106,Xining,CN,36.6167,101.7667,43.95,41,64,2.28,broken clouds
107,Bluff,NZ,-46.6,168.3333,52.81,76,86,12.66,overcast clouds
108,Cabo San Lucas,MX,22.8909,-109.9124,83.61,49,25,14.38,scattered clouds
109,Sinop,TR,41.7711,34.8709,27.21,94,100,2.93,overcast clouds
110,Tasiilaq,GL,65.6145,-37.6368,16.57,85,98,9.44,light snow
111,Nouadhibou,MR,20.931,-17.0347,66.18,59,0,23.02,sand
112,Avarua,CK,-21.2078,-159.775,84.25,74,75,3.44,broken clouds
113,Senj,HR,44.9894,14.9058,53.73,76,67,10.63,broken clouds
114,Boa Vista,BR,2.8197,-60.6733,85.98,66,40,6.91,scattered clouds
115,Joshimath,IN,30.5667,79.5667,52.56,30,9,12.26,clear sky
