City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,Rawson,AR,78.17,clear sky,-43.3002,-65.1023,Hosteria Sampedro
90,Yellowknife,CA,17.42,light snow,62.456,-114.3525,The Explorer Hotel
93,Vila Velha,BR,80.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
94,Chuy,UY,73.83,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
95,Bikin,RU,15.69,broken clouds,46.8161,134.26,Azhur
96,Sitka,US,44.49,light rain,57.0531,-135.33,Westmark Sitka
97,Balkanabat,TM,42.73,broken clouds,39.5108,54.3671,Nebitchi Hotel
98,Faya,SA,57.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
99,Timizart,DZ,53.31,light rain,36.8,4.2667,yefssah restaurant
100,Lujan,AR,81.05,clear sky,-34.5703,-59.105,Hotel Biarritz
101,Bishop Auckland,GB,41.86,overcast clouds,54.6555,-1.6771,Premier Inn Bishop Auckland hotel
102,Fort Saint James,CA,43.18,overcast clouds,54.4333,-124.25,The View Hotel
104,Kensington,AU,71.04,few clouds,-33.9167,151.2167,Meriton Suites Zetland
105,Varniai,LT,34.32,clear sky,55.7406,22.3644,Lūkstas Rest Park
106,Xining,CN,43.95,broken clouds,36.6167,101.7667,Super Leisure Hotel
107,Bluff,NZ,52.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
108,Cabo San Lucas,MX,83.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
109,Sinop,TR,27.21,overcast clouds,41.7711,34.8709,
110,Tasiilaq,GL,16.57,light snow,65.6145,-37.6368,The Red House
111,Nouadhibou,MR,66.18,sand,20.931,-17.0347,El Medina
112,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
113,Senj,HR,53.73,broken clouds,44.9894,14.9058,Roza Guest House
114,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
115,Joshimath,IN,52.56,clear sky,30.5667,79.5667,Shivalik Camps & Resort
116,Coronel Vivida,BR,65.01,scattered clouds,-25.9797,-52.5678,Stedile Palace Hotel
117,Zruc Nad Sazavou,CZ,43.21,overcast clouds,49.7401,15.1061,KEMP RÁKOSÍ
118,Flin Flon,CA,26.44,light snow,54.7682,-101.865,Victoria Inn Flin Flon
119,Lujiang,CN,52.57,overcast clouds,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
120,Galveston,US,79.18,clear sky,29.3669,-94.9669,Crystal Suites
121,Paramonga,PE,75.22,scattered clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
122,Hermanus,ZA,60.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
123,Salinopolis,BR,77.41,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
124,Carnarvon,AU,73.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
126,Pemba,MZ,81.3,broken clouds,-12.974,40.5178,Guesthouse Samotina
127,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
128,Victoria,HK,74.17,overcast clouds,22.2855,114.1577,Mini Hotel Central
129,Westport,US,62.15,clear sky,41.1415,-73.3579,The Inn at Longshore
130,Nikolskoye,RU,33.69,broken clouds,59.7035,30.7861,Tourist House - Sablino
131,Souillac,MU,80.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
132,Nola,IT,55.24,overcast clouds,40.922,14.5329,Palazzo Giordano Bruno
133,Dillon,US,66.11,overcast clouds,34.4166,-79.3712,Dillon Express Inn
135,Mwinilunga,ZM,63.97,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
136,Airai,TL,60.22,scattered clouds,-8.9266,125.4092,
139,Port Alfred,ZA,65.89,clear sky,-33.5906,26.891,The Halyards Hotel
141,Toktogul,KG,44.31,light rain,41.8708,72.9402,KAGAN
142,Asyut,EG,51.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
143,Mendi,PG,59.92,broken clouds,-6.1761,143.6513,Kiburu Lodge
144,Broome,US,60.98,clear sky,42.2506,-75.833,Chenango Valley State Park
145,Ancud,CL,53.22,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
146,San Patricio,US,83.53,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
147,Portland,US,57.94,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
148,La Ronge,CA,26.85,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
149,Tabou,CI,79.81,scattered clouds,4.423,-7.3528,hotêl doufoulougou
150,Ilebo,CD,67.93,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
151,East London,ZA,65.16,overcast clouds,-33.0153,27.9116,Tu Casa
152,Morondava,MG,78.91,light rain,-20.2833,44.2833,La Case Bambou
153,Bubaque,GW,75.78,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
154,Cambrils,ES,59.81,overcast clouds,41.0748,1.0524,Sol Port Cambrils
